image_id,filename,latitude,longitude,heading,depth_m,altitude_m,sonar_range_m,pixel_scale_m,scan_side,orientation,frequency_khz,timestamp
1,Artificial_Reef_03.png,28.6139,77.2090,45,18.5,8.2,50,0.05,port,forward,600,2026-09-17T10:15:00
2,crab_pot.jpg,28.6147,77.2099,45,18.7,8.4,50,0.05,port,forward,600,2026-09-17T10:16:30
3,crab_pot1.jpg,28.6156,77.2109,45,18.9,8.1,50,0.05,port,forward,600,2026-09-17T10:18:00
4,ghostnet.jpeg,28.6164,77.2118,45,19.2,7.9,50,0.05,port,forward,600,2026-09-17T10:19:30
5,human.jpeg,28.6172,77.2128,45,19.0,8.3,50,0.05,starboard,forward,600,2026-09-17T10:21:00
6,pipe.jpeg,28.6180,77.2137,45,18.6,8.6,50,0.05,starboard,forward,600,2026-09-17T10:22:30
7,pipe1.jpeg,28.6189,77.2146,45,18.8,8.4,50,0.05,port,forward,600,2026-09-17T10:24:00
8,plane.jpg,28.6197,77.2156,45,19.3,8.0,50,0.05,port,forward,600,2026-09-17T10:25:30
9,plane1.jpg,28.6205,77.2165,45,19.5,7.8,50,0.05,port,forward,600,2026-09-17T10:27:00
10,seabed.png,28.6213,77.2175,45,19.1,8.2,50,0.05,port,forward,600,2026-09-17T10:28:30
11,seabed1.jpg,28.6222,77.2184,45,18.9,8.5,50,0.05,starboard,forward,600,2026-09-17T10:30:00
12,seabed3.png,28.6230,77.2193,45,18.7,8.3,50,0.05,starboard,forward,600,2026-09-17T10:31:30
13,seabed4.png,28.6238,77.2203,45,19.0,8.1,50,0.05,port,forward,600,2026-09-17T10:33:00
14,shipwreck.png,28.6246,77.2212,45,19.4,7.9,50,0.05,starboard,forward,600,2026-09-17T10:34:30
15,shipwreck2.png,28.6255,77.2222,45,19.2,8.2,50,0.05,port,forward,600,2026-09-17T10:36:00
